iter	Passed	Remaining
0	134	134460
1	136	67871
2	137	45677
3	138	34516
4	139	27797
5	140	23332
6	141	20132
7	143	17738
8	144	15878
9	145	14374
10	146	13146
11	147	12129
12	148	11263
13	149	10532
14	151	9922
15	152	9371
16	153	8874
17	154	8425
18	155	8030
19	156	7671
20	157	7347
21	158	7062
22	160	6798
23	161	6552
24	162	6324
25	163	6116
26	164	5924
27	165	5754
28	166	5585
29	167	5427
30	169	5282
31	170	5145
32	171	5016
33	172	4895
34	173	4783
35	174	4675
36	175	4569
37	176	4468
38	177	4374
39	179	4304
40	180	4226
41	181	4147
42	182	4069
43	183	3994
44	184	3923
45	185	3857
46	187	3794
47	188	3733
48	189	3674
49	190	3618
50	191	3564
51	192	3515
52	194	3470
53	195	3426
54	196	3378
55	197	3333
56	198	3291
57	199	3247
58	200	3204
59	201	3164
60	203	3125
61	204	3089
62	205	3053
63	207	3027
64	208	3002
65	209	2968
66	210	2937
67	211	2905
68	213	2876
69	214	2845
70	215	2817
71	216	2789
72	217	2761
73	218	2734
74	219	2708
75	220	2683
76	222	2663
77	223	2647
78	225	2623
79	226	2600
80	227	2578
81	228	2559
82	229	2533
83	230	2511
84	231	2490
85	232	2470
86	233	2449
87	234	2428
88	235	2409
89	236	2394
90	238	2380
91	239	2364
92	240	2346
93	241	2329
94	242	2313
95	243	2297
96	244	2280
97	246	2264
98	247	2248
99	248	2233
100	249	2217
101	250	2202
102	251	2189
103	253	2179
104	254	2171
105	255	2157
106	257	2145
107	258	2131
108	259	2118
109	260	2105
110	261	2093
111	262	2080
112	263	2068
113	264	2057
114	265	2046
115	267	2039
116	268	2028
117	269	2017
118	271	2007
119	272	1997
120	273	1986
121	274	1974
122	275	1963
123	276	1955
124	277	1945
125	279	1935
126	280	1924
127	281	1919
128	283	1912
129	284	1905
130	285	1896
131	287	1887
132	288	1879
133	289	1870
134	290	1861
135	291	1852
136	292	1844
137	294	1836
138	295	1828
139	297	1824
140	298	1819
141	299	1810
142	300	1803
143	302	1795
144	303	1788
145	304	1781
146	305	1773
147	306	1765
148	307	1758
149	309	1752
150	310	1745
151	312	1741
152	313	1736
153	314	1730
154	316	1723
155	317	1717
156	318	1710
157	319	1702
158	320	1696
159	321	1689
160	322	1680
161	323	1673
162	324	1667
163	326	1662
164	328	1661
165	329	1656
166	330	1649
167	331	1642
168	332	1636
169	334	1630
170	335	1625
171	336	1619
172	337	1613
173	338	1608
174	340	1603
175	341	1598
176	343	1595
177	345	1593
178	346	1588
179	347	1583
180	348	1577
181	349	1571
182	350	1566
183	352	1561
184	353	1555
185	354	1550
186	355	1546
187	357	1543
188	359	1542
189	361	1541
190	362	1536
191	364	1532
192	365	1527
193	366	1522
194	367	1518
195	368	1513
196	370	1508
197	371	1504
198	372	1499
199	374	1497
200	375	1493
201	376	1489
202	378	1485
203	379	1481
204	380	1476
205	381	1472
206	383	1467
207	384	1463
208	385	1458
209	387	1456
210	389	1454
211	390	1451
212	391	1447
213	392	1443
214	394	1439
215	395	1434
216	396	1430
217	397	1425
218	398	1421
219	399	1417
220	400	1412
221	402	1409
222	403	1407
223	405	1404
224	406	1400
225	407	1396
226	409	1393
227	410	1390
228	412	1387
229	413	1383
230	414	1379
231	415	1376
232	416	1372
233	418	1369
234	420	1368
235	421	1365
236	422	1361
237	423	1357
238	425	1353
239	426	1349
240	427	1345
241	428	1341
242	429	1337
243	430	1333
244	431	1330
245	432	1326
246	434	1324
247	435	1321
248	436	1317
249	437	1313
250	439	1310
251	440	1307
252	441	1303
253	442	1300
254	443	1296
255	444	1293
256	446	1289
257	447	1287
258	449	1286
259	452	1287
260	453	1284
261	454	1281
262	456	1278
263	457	1274
264	458	1270
265	459	1267
266	460	1263
267	461	1260
268	463	1259
269	464	1257
270	466	1253
271	467	1250
272	468	1247
273	469	1243
274	470	1240
275	471	1236
276	472	1233
277	473	1230
278	474	1226
279	476	1225
280	478	1225
281	480	1222
282	481	1219
283	482	1216
284	483	1213
285	484	1210
286	485	1207
287	487	1204
288	488	1200
289	489	1197
290	490	1194
291	491	1191
292	493	1189
293	494	1187
294	495	1184
295	497	1182
296	498	1179
297	499	1176
298	500	1173
299	501	1170
300	502	1167
301	503	1164
302	504	1161
303	505	1158
304	507	1156
305	509	1154
306	510	1152
307	511	1149
308	512	1146
309	513	1143
310	514	1140
311	515	1137
312	516	1134
313	518	1131
314	519	1128
315	520	1125
316	521	1123
317	523	1122
318	524	1119
319	525	1116
320	526	1114
321	527	1111
322	528	1108
323	530	1105
324	531	1103
325	532	1100
326	533	1097
327	534	1094
328	535	1092
329	537	1090
330	552	1116
331	553	1114
332	555	1111
333	556	1109
334	557	1106
335	558	1103
336	559	1100
337	560	1097
338	561	1094
339	562	1091
340	563	1089
341	564	1086
342	565	1083
343	566	1080
344	568	1078
345	569	1076
346	570	1074
347	571	1071
348	572	1068
349	573	1065
350	574	1063
351	576	1060
352	577	1057
353	578	1054
354	579	1052
355	580	1049
356	581	1046
357	582	1044
358	583	1042
359	585	1040
360	586	1037
361	587	1035
362	588	1032
363	589	1030
364	591	1028
365	592	1025
366	593	1023
367	594	1020
368	595	1018
369	596	1015
370	597	1013
371	599	1012
372	601	1010
373	602	1007
374	603	1005
375	604	1002
376	605	1000
377	606	998
378	607	995
379	608	993
380	610	991
381	611	988
382	612	986
383	613	984
384	615	982
385	616	980
386	617	978
387	618	976
388	620	974
389	621	971
390	622	969
391	623	967
392	625	965
393	626	963
394	627	960
395	629	959
396	630	958
